"","pid","location","yearbuilt","totval","bedrooms","bathrooms","halfbaths","pctgood","style","model","grade","occupancy","actype","bathstyle","kstyle","acres","exval"
"13997",13997,"181 MANSFIELD ST","1905",449500,"6","3","0",90,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.42,"No Data for Extra Features"
"13998",13998,"185 MANSFIELD ST","1900",271600,"3","1","1",68,"Colonial","Single Family","Ave/Good",1,"None","Average","Average",0.22,"No Data for Extra Features"
"13999",13999,"MANSFIELD ST",NA,109200,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.19,"No Data for Extra Features"
"14000",14000,"187 MANSFIELD ST","1905",400400,"7","2","0",78,"2 Family","Multi-Fam 2-4","Ave/Good",2,"None","Average","Average",0.38,"No Data for Extra Features"
"14001",14001,"191 MANSFIELD ST","1900",413500,"7","2","1",78,"2 Family","Multi-Fam 2-4","Ave/Good",2,"None","Average","Average",0.41,"No Data for Extra Features"
"14002",14002,"197 MANSFIELD ST","1915",444400,"6","3","0",73,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.38,"No Data for Extra Features"
"14003",14003,"203 MANSFIELD ST","1900",439500,"8","3","0",73,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.31,"No Data for Extra Features"
"14004",14004,"211 MANSFIELD ST","1900",404600,"8","3","0",78,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.16,"No Data for Extra Features"
"14005",14005,"217 MANSFIELD ST","1900",373400,"6","2","0",78,"2 Family","Multi-Fam 2-4","Good",2,"None","Average","Average",0.21,"No Data for Extra Features"
"14006",14006,"56 HILLSIDE PL","1910",326500,"6","3","0",68,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.09,"No Data for Extra Features"
"14007",14007,"54 HILLSIDE PL","1910",314300,"6","3","0",68,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.09,"No Data for Extra Features"
"14008",14008,"52 HILLSIDE PL","1900",312100,"5","3","0",68,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.09,"No Data for Extra Features"
"14009",14009,"PROSPECT ST",NA,684300,NA,NA,NA,NA,"Outbuildings",NA,NA,NA,NA,NA,NA,1.14,"No Data for Extra Features"
