"","pid","location","yearbuilt","totval","bedrooms","bathrooms","halfbaths","pctgood","style","model","grade","occupancy","actype","bathstyle","kstyle","acres","exval"
"13808",13808,"157 CHURCH ST","1987",44275200,"0","0",NA,40,NA,NA,NA,8,NA,NA,NA,0.61,"657200"
"13809",13809,"165 CHURCH ST","1861",3343700,"0","0",NA,65,NA,NA,NA,1,NA,NA,NA,0.11,"16700"
"13810",13810,"175 CHURCH ST","1990",26640100,"0","0",NA,85,NA,NA,NA,1,NA,NA,NA,0.62,"158100"
"13811",13811,"175 CHURCH ST","1980",2994300,"0","0",NA,47,NA,NA,NA,126,NA,NA,NA,0.67,"29100"
"13812",13812,"175 CHURCH ST","1989",7781200,"0","0",NA,65,NA,NA,NA,1,NA,NA,NA,0.56,"181400"
"13813",13813,"469 COLLEGE ST","1897",11160100,"0","0",NA,65,NA,NA,NA,1,NA,NA,NA,0.18,"No Data for Extra Features"
"13814",13814,"90 WALL ST","1900",200400,"0","0",NA,23,NA,NA,NA,2,NA,NA,NA,0.04,"2200"
"13815",13815,"90 WALL ST","1900",335900,"0","0",NA,33,NA,NA,NA,1,NA,NA,NA,0.04,"3700"
"13816",13816,"86 WALL ST","1900",323100,"0","0",NA,23,NA,NA,NA,2,NA,NA,NA,0.07,"4300"
"13817",13817,"86 WALL ST","1900",566100,"0","0",NA,40,NA,NA,NA,1,NA,NA,NA,0.07,"No Data for Extra Features"
"13818",13818,"82 WALL ST","1900",390900,"0","0",NA,17,NA,NA,NA,5,NA,NA,NA,0.15,"6100"
"13819",13819,"82 WALL ST","1900",1452300,"0","0",NA,68,NA,NA,NA,5,NA,NA,NA,0.15,"5400"
"13820",13820,"80 WALL ST","1994",2951300,"0","0",NA,88,NA,NA,NA,1,NA,NA,NA,0.14,"43900"
"13821",13821,"78 WALL ST",NA,281200,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.04,"No Data for Extra Features"
"13822",13822,"76 WALL ST",NA,281200,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.04,"No Data for Extra Features"
"13823",13823,"74 WALL ST",NA,332300,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.05,"No Data for Extra Features"
"13824",13824,"328 TEMPLE ST","1806",1239500,"4","2","1",78,"Colonial","Single Family","Vg/Exc",1,"None","Average","Average",0.22,"No Data for Extra Features"
"13825",13825,"320 TEMPLE ST","1805",1386000,"0","0",NA,55,NA,NA,NA,1,NA,NA,NA,0.28,"No Data for Extra Features"
"13826",13826,"310 TEMPLE ST",NA,1009100,NA,NA,NA,NA,"Outbuildings",NA,NA,NA,NA,NA,NA,0.45,"No Data for Extra Features"
"13827",13827,"302 TEMPLE ST","1843",2106500,"0","0",NA,51,NA,NA,NA,1,NA,NA,NA,0.15,"23500"
"13828",13828,"294 TEMPLE ST","1993",2242700,"0","0",NA,88,NA,NA,NA,1,NA,NA,NA,0.08,"33700"
"13829",13829,"143 ELM ST","1831",1676100,"0","0",NA,60,NA,NA,NA,1,NA,NA,NA,0.22,"No Data for Extra Features"
"13830",13830,"149 ELM ST","1767",2263200,"0","0",NA,73,NA,NA,NA,1,NA,NA,NA,0.28,"20000"
"13831",13831,"155 ELM ST","1800",1537400,"0","0",NA,65,NA,NA,NA,1,NA,NA,NA,0.39,"2500"
"13832",13832,"165 ELM ST","1900",40215700,"0","0",NA,78.3333333333333,NA,NA,NA,3,NA,NA,NA,0.99,"124000"
"13833",13833,"175 ELM ST","1900",1186000,"0","0",NA,65,NA,NA,NA,1,NA,NA,NA,0.27,"No Data for Extra Features"
"13834",13834,"427 COLLEGE ST","1843",2953500,"0","0",NA,60,NA,NA,NA,1,NA,NA,NA,0.31,"No Data for Extra Features"
"13835",13835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13836",13836,"451 COLLEGE ST","1911",5844200,"0","0",NA,73,NA,NA,NA,1,NA,NA,NA,0.46,"35900"
"13837",13837,"459 COLLEGE ST","1900",753300,"0","0",NA,65,NA,NA,NA,1,NA,NA,NA,0.22,"No Data for Extra Features"
"13838",13838,"323 TEMPLE ST","1961",2652200,"0","0",NA,60,NA,NA,NA,1,NA,NA,NA,0.35,"13900"
"13839",13839,"58 WALL ST",NA,561100,NA,NA,NA,NA,"Outbuildings",NA,NA,NA,NA,NA,NA,0.26,"No Data for Extra Features"
"13840",13840,"54 WALL ST","1955",886900,"0","0",NA,40,NA,NA,NA,1,NA,NA,NA,0.09,"No Data for Extra Features"
"13841",13841,"234 CHURCH ST","1972",6283500,"0","0",NA,48,NA,NA,NA,27,NA,NA,NA,0.12,"223200"
"13842",13842,"230 CHURCH ST",NA,513800,NA,NA,NA,NA,"Outbuildings",NA,NA,NA,NA,NA,NA,0.11,"No Data for Extra Features"
"13843",13843,"226 CHURCH ST",NA,551700,NA,NA,NA,NA,"Outbuildings",NA,NA,NA,NA,NA,NA,0.15,"No Data for Extra Features"
"13844",13844,"121 ELM ST","1913",30033800,"0","0",NA,50,NA,NA,NA,1,NA,NA,NA,1.01,"No Data for Extra Features"
"13845",13845,"133 ELM ST","1912",22680200,"0","0",NA,73,NA,NA,NA,1,NA,NA,NA,1.06,"113200"
"13846",13846,"311 TEMPLE ST","1850",2522000,"0","3",NA,73,NA,NA,NA,1,NA,NA,NA,0.4,"No Data for Extra Features"
"13847",13847,"227 CHURCH ST","1938",25759500,"0","0",NA,73,NA,NA,NA,158,NA,NA,NA,0.53,"81200"
"13848",13848,"36 WALL ST",NA,1448800,NA,NA,NA,NA,"Outbuildings",NA,NA,NA,NA,NA,NA,0.37,"No Data for Extra Features"
"13849",13849,"292 ORANGE ST","1850",4131200,"0","0",NA,65,NA,NA,NA,1,NA,NA,NA,0.35,"No Data for Extra Features"
"13850",13850,"284 ORANGE ST","1903",1095300,"0","0",NA,34,NA,NA,NA,18,NA,NA,NA,0.18,"63200"
"13851",13851,"284 ORANGE ST","1903",262800,"0","0",NA,9,NA,NA,NA,19,NA,NA,NA,0.18,"16700"
"13852",13852,"280 ORANGE ST",NA,30200,NA,NA,NA,NA,"Outbuildings",NA,NA,NA,NA,NA,NA,0.04,"No Data for Extra Features"
"13853",13853,"ORANGE ST",NA,20900,NA,NA,NA,NA,"Outbuildings",NA,NA,NA,NA,NA,NA,0.03,"No Data for Extra Features"
"13854",13854,"278 ORANGE ST","1900",454100,"0","0",NA,50,NA,NA,NA,4,NA,NA,NA,0.05,"No Data for Extra Features"
"13855",13855,"250 ORANGE ST",NA,439100,NA,NA,NA,NA,"Outbuildings",NA,NA,NA,NA,NA,NA,0.29,"No Data for Extra Features"
"13856",13856,"59 ELM ST","1926",8777500,"0","0",NA,65,NA,NA,NA,40,NA,NA,NA,0.58,"120900"
"13857",13857,"71 ELM ST","1900",497500,"0","0",NA,50,NA,NA,NA,1,NA,NA,NA,0.08,"No Data for Extra Features"
"13858",13858,"205 CHURCH ST","1928",22318300,"0","0",NA,95,NA,NA,NA,138,NA,NA,NA,0.61,"324000"
"13859",13859,"209 CHURCH ST","1929",2724900,"0","0",NA,73,NA,NA,NA,1,NA,NA,NA,0.3,"5500"
"13860",13860,"215 CHURCH ST","1900",2313700,"0","0",NA,65,NA,NA,NA,3,NA,NA,NA,0.28,"No Data for Extra Features"
"13861",13861,"221 CHURCH ST","1931",2054900,"0","0",NA,30,NA,NA,NA,1,NA,NA,NA,0.38,"46500"
"13862",13862,"509 COLLEGE ST","1940",59675000,"0","0",NA,73,NA,NA,NA,1,NA,NA,NA,2.7,"392300"
"13863",13863,"497 COLLEGE ST","1903",8656400,"0","0",NA,82,NA,NA,NA,84,NA,NA,NA,0.44,"66500"
"13864",13864,"483 COLLEGE ST","1913",2142800,"0","0",NA,55,NA,NA,NA,1,NA,NA,NA,0.16,"22900"
"13865",13865,"493 COLLEGE ST","1900",8600700,"0","0",NA,82,NA,NA,NA,1,NA,NA,NA,0.14,"127100"
"13866",13866,"347 TEMPLE ST","1935",71461100,"0","0",NA,82,NA,NA,NA,1,NA,NA,NA,1.66,"272600"
"13867",13867,"258 CHURCH ST","1900",966300,"0","0",NA,55,NA,NA,NA,3,NA,NA,NA,0.11,"No Data for Extra Features"
"13868",13868,"250 CHURCH ST","1900",1473500,"0","0",NA,45,NA,NA,NA,8,NA,NA,NA,0.31,"55800"
"13869",13869,"246 CHURCH ST","1961",3829000,"0","0",NA,72,NA,NA,NA,1,NA,NA,NA,0.2,"111600"
"13870",13870,"CHURCH ST",NA,856700,NA,NA,NA,NA,"Outbuildings",NA,NA,NA,NA,NA,NA,0.23,"No Data for Extra Features"
"13871",13871,"236 CHURCH ST","1923",6860000,"0","0",NA,73,NA,NA,NA,1,NA,NA,NA,0.18,"No Data for Extra Features"
"13872",13872,"310 ORANGE ST","1955",22584500,"0","0",NA,32.5,NA,NA,NA,2,NA,NA,NA,1.52,"139500"
"13873",13873,"237 CHURCH ST","1974",43170700,"0","0",NA,78,NA,NA,NA,1,NA,NA,NA,0.86,"241800"
"13874",13874,"265 CHURCH ST #1","1990",18195000,"0","0","0",70,NA,NA,NA,33,"Central","Average","Average",0,"No Data for Extra Features"
"13875",13875,"265 CHURCH ST #2","1990",9114200,"0","0","0",85,NA,NA,NA,580,"None","Average","Average",0,"210800"
"13876",13876,"265 CHURCH ST #3","1990",11976500,"0","0","0",75,NA,NA,NA,10,"Central","Average","Average",0,"252800"
"13877",13877,"173 GROVE ST","1900",22003400,"0","0",NA,63,NA,NA,NA,1,NA,NA,NA,0.59,"214800"
"13878",13878,"21 PROSPECT ST","1895",78302600,"0","0",NA,85.6666666666667,NA,NA,NA,2,NA,NA,NA,1.45,"148800"
"13879",13879,"24 HILLHOUSE AV","1849",1561500,"0","0",NA,73,NA,NA,NA,1,NA,NA,NA,0.6,"No Data for Extra Features"
"13880",13880,"HILLHOUSE AV",NA,1494100,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.53,"No Data for Extra Features"
"13881",13881,"12 HILLHOUSE AV","1908",2337800,"0","0",NA,60,NA,NA,NA,1,NA,NA,NA,0.41,"25300"
"13882",13882,"10 HILLHOUSE AV","1912",16735900,"0","0",NA,61,NA,NA,NA,1,NA,NA,NA,0.75,"113500"
"13883",13883,"2 HILLHOUSE AV","1904",2433600,"0","0",NA,65,NA,NA,NA,1,NA,NA,NA,0.36,"No Data for Extra Features"
"13884",13884,"HILLHOUSE AV",NA,272200,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.16,"No Data for Extra Features"
"13885",13885,"131 GROVE ST","1900",9285500,"0","0",NA,65,NA,NA,NA,2,NA,NA,NA,0.5,"32500"
"13886",13886,"5 HILLHOUSE AV","1870",10994800,"0","0",NA,65,NA,NA,NA,2,NA,NA,NA,0.75,"No Data for Extra Features"
"13887",13887,"9 HILLHOUSE AV","1911",7986200,"0","0",NA,66,NA,NA,NA,1,NA,NA,NA,0.44,"100800"
"13888",13888,"15 HILLHOUSE AV","1894",1060900,"0","0",NA,65,NA,NA,NA,1,NA,NA,NA,0.15,"18600"
"13889",13889,"HILLHOUSE AV",NA,853300,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.3,"No Data for Extra Features"
"13890",13890,"17 HILLHOUSE AV","1971",37608900,"0","0",NA,83,NA,NA,NA,1,NA,NA,NA,0.72,"133900"
"13891",13891,"HILLHOUSE AV",NA,838700,NA,NA,NA,NA,"Outbuildings",NA,NA,NA,NA,NA,NA,0.29,"No Data for Extra Features"
"13892",13892,"88 TRUMBULL ST",NA,289600,NA,NA,NA,NA,"Outbuildings",NA,NA,NA,NA,NA,NA,0.17,"No Data for Extra Features"
"13893",13893,"84 TRUMBULL ST","1910",2646200,"0","0",NA,82,NA,NA,NA,1,NA,NA,NA,0.28,"41500"
"13894",13894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13895",13895,"442 TEMPLE ST","1900",694000,"0","0",NA,60,NA,NA,NA,1,NA,NA,NA,0.18,"No Data for Extra Features"
"13896",13896,"432 TEMPLE ST","1900",1193300,"0","0",NA,60,NA,NA,NA,1,NA,NA,NA,0.1,"11600"
"13897",13897,"420 TEMPLE ST","1958",9907600,"0","0",NA,83,NA,NA,NA,1,NA,NA,NA,0.73,"112900"
"13898",13898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13899",13899,"91 TRUMBULL ST","1884",3818900,"0","0",NA,82,NA,NA,NA,1,NA,NA,NA,0.2,"9000"
"13900",13900,"135 PROSPECT ST","1950",13994900,"0","0",NA,60,NA,NA,NA,1,NA,NA,NA,1.72,"115000"
"13901",13901,"46 HILLHOUSE AV","1839",2293300,"0","0",NA,82,NA,NA,NA,1,NA,NA,NA,1.82,"60500"
"13902",13902,"38 HILLHOUSE AV","1892",36151300,"0","0",NA,81.5,NA,NA,NA,2,NA,NA,NA,0.78,"216000"
"13903",13903,"34 HILLHOUSE AV","1994",8479200,"0","0",NA,85,NA,NA,NA,1,NA,NA,NA,0.77,"55100"
"13904",13904,"30 HILLHOUSE AV","1884",3285100,"0","0",NA,65,NA,NA,NA,1,NA,NA,NA,0.56,"No Data for Extra Features"
"13905",13905,"28 HILLHOUSE AV","1884",2276400,"0","0",NA,65,NA,NA,NA,1,NA,NA,NA,0.34,"3200"
"13906",13906,"87 TRUMBULL ST","1900",785400,"6","4","1",73,NA,NA,NA,1,NA,NA,NA,0.11,"3400"
"13907",13907,"89 TRUMBULL ST","1900",3967500,"0","0",NA,73,NA,NA,NA,1,NA,NA,NA,0.07,"22600"
"13908",13908,"27 HILLHOUSE AV","1866",1222200,"0","0",NA,82,NA,NA,NA,1,NA,NA,NA,0.33,"17400"
"13909",13909,"31 HILLHOUSE AV","1900",1444400,"7","3","1",79.3333333333333,"Colonial, Colonial","Single Family, Single Family","Good, Above Average",3,"None, None","NA, Average","Average, Average",1.01,"No Data for Extra Features"
"13910",13910,"37 HILLHOUSE AV","1900",1146200,"0","0",NA,60,NA,NA,NA,1,NA,NA,NA,0.35,"No Data for Extra Features"
"13911",13911,"43 HILLHOUSE AV","1871",4339900,"8","3","0",143,"Colonial","Single Family","Luxurious",1,"Central","Above Average","Above Average",0.38,"49200"
"13912",13912,"47 HILLHOUSE AV",NA,299600,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.37,"No Data for Extra Features"
"13913",13913,"51 HILLHOUSE AV","1900",3423600,"0","0",NA,82,NA,NA,NA,1,NA,NA,NA,0.39,"0"
"13914",13914,"55 HILLHOUSE AV","1859",2913800,"0","0",NA,82,NA,NA,NA,1,NA,NA,NA,0.63,"34500"
"13915",13915,"158 WHITNEY AV","2007",16040600,"0","0",NA,98,NA,NA,NA,1,NA,NA,NA,0.93,"144200"
"13916",13916,"122 WHITNEY AV",NA,343200,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,1.56,"No Data for Extra Features"
"13917",13917,"114 WHITNEY AV","1930",3766700,"0","0",NA,65,NA,NA,NA,1,NA,NA,NA,0.61,"No Data for Extra Features"
"13918",13918,"110 WHITNEY AV","1900",1297900,"0","0",NA,65,NA,NA,NA,11,NA,NA,NA,0.37,"No Data for Extra Features"
"13919",13919,"79 TRUMBULL ST","1880",727100,"0","0",NA,60,NA,NA,NA,12,NA,NA,NA,0.15,"5200"
"13920",13920,"83 TRUMBULL ST","1890",527700,"0","0",NA,60,NA,NA,NA,1,NA,NA,NA,0.14,"No Data for Extra Features"
"13921",13921,"85 TRUMBULL ST",NA,277800,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.19,"No Data for Extra Features"
"13922",13922,"165 PROSPECT ST","1912",86815800,"0","0",NA,78.25,NA,NA,NA,4,NA,NA,NA,4.11,"90500"
"13923",13923,"PROSPECT ST",NA,1203200,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.38,"No Data for Extra Features"
"13924",13924,"223 PROSPECT ST","1955",105991100,"0","0",NA,74.3333333333333,NA,NA,NA,3,NA,NA,NA,2.96,"194700"
"13925",13925,"243 PROSPECT ST","1923",123465200,"0","0",NA,87,NA,NA,NA,2,NA,NA,NA,4.22,"0"
"13926",13926,"285 PROSPECT ST","2004",52666500,"0","0",NA,95,NA,NA,NA,1,NA,NA,NA,0.69,"266100"
"13927",13927,"301 PROSPECT ST","1900",1783800,"0","0",NA,60,NA,NA,NA,2,NA,NA,NA,1.36,"No Data for Extra Features"
"13928",13928,"EDWARDS ST",NA,13700,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.05,"No Data for Extra Features"
"13929",13929,"360 EDWARDS ST","1890",1148500,"0","0",NA,82,NA,NA,NA,13,NA,NA,NA,0.26,"No Data for Extra Features"
"13930",13930,"340 EDWARDS ST","1900",970300,"0","0",NA,60,NA,NA,NA,1,NA,NA,NA,0.51,"No Data for Extra Features"
"13931",13931,"320 EDWARDS ST","1973",10493800,"0","0",NA,73,NA,NA,NA,1,NA,NA,NA,2.24,"No Data for Extra Features"
"13932",13932,"256 WHITNEY AV","1955",38031300,"0","0",NA,82,NA,NA,NA,1,NA,NA,NA,7.58,"176000"
"13933",13933,"180 WHITNEY AV","1924",80136100,"0","0",NA,75.6666666666667,NA,NA,NA,3,NA,NA,NA,6.19,"47600"
"13934",13934,"260 WHITNEY AV",NA,35300,NA,NA,NA,NA,"Outbuildings",NA,NA,NA,NA,NA,NA,0.05,"No Data for Extra Features"
"13935",13935,"21 SACHEM ST",NA,6069600,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,4.29,"No Data for Extra Features"
"13936",13936,"101 WINCHESTER AV","1910",354100,"9+","3","0",73,"3 Family","Multi-Fam 2-4","Above Average",3,"None","Average","Average",0.08,"No Data for Extra Features"
