"pid","location","city","state","zip"
248,"10 LAURA LA","New Haven","CT",""
249,"4 LAURA LA","New Haven","CT",""
250,"115 LAURA LA","New Haven","CT",""
251,"107 LAURA LA","New Haven","CT",""
252,"101 LAURA LA","New Haven","CT",""
253,"95 LAURA LA","New Haven","CT",""
254,"87 LAURA LA","New Haven","CT",""
255,"81 LAURA LA","New Haven","CT",""
256,"35 LAURA LA","New Haven","CT",""
257,"29 LAURA LA","New Haven","CT",""
258,"23 LAURA LA","New Haven","CT",""
259,"17 LAURA LA","New Haven","CT",""
260,"11 LAURA LA","New Haven","CT",""
261,"5 LAURA LA","New Haven","CT",""
262,"159 HUNTINGTON RD","New Haven","CT",""
263,"157 HUNTINGTON RD","New Haven","CT",""
264,"151 HUNTINGTON RD","New Haven","CT",""
265,"155 HUNTINGTON RD","New Haven","CT",""
266,"145 HUNTINGTON RD","New Haven","CT",""
267,"137 HUNTINGTON RD","New Haven","CT",""
268,"129 HUNTINGTON RD","New Haven","CT",""
269,"123 HUNTINGTON RD","New Haven","CT",""
270,"115 HUNTINGTON RD","New Haven","CT",""
271,"107 HUNTINGTON RD","New Haven","CT",""
272,"99 HUNTINGTON RD","New Haven","CT",""
273,"91 HUNTINGTON RD","New Haven","CT",""
274,"83 HUNTINGTON RD","New Haven","CT",""
275,"75 HUNTINGTON RD","New Haven","CT",""
276,"65 HUNTINGTON RD","New Haven","CT",""
277,"44 ELIZABETH ANN DR","New Haven","CT",""
278,"52 ELIZABETH ANN DR","New Haven","CT",""
279,"56 ELIZABETH ANN DR","New Haven","CT",""
280,"60 ELIZABETH ANN DR","New Haven","CT",""
281,"66 ELIZABETH ANN DR","New Haven","CT",""
282,"CHARTER OAK AV","New Haven","CT",""
283,"CHARTER OAK AV","New Haven","CT",""
284,"CHARTER OAK AV","New Haven","CT",""
285,"CHARTER OAK AV","New Haven","CT",""
286,"CHARTER OAK AV","New Haven","CT",""
287,"CHARTER OAK AV","New Haven","CT",""
288,"125 HUNTINGTON RD","New Haven","CT",""
289,"CHARTER OAK AV","New Haven","CT",""
290,"CHARTER OAK AV","New Haven","CT",""
291,"4 HUGHES ST EX","New Haven","CT",""
292,"8 HUGHES ST EX","New Haven","CT",""
293,"72 ELIZABETH ANN DR","New Haven","CT",""
294,"78 ELIZABETH ANN DR","New Haven","CT",""
