pid,latitude,longitude
2638,41.28477,-72.8900515
2639,41.282822,-72.890987
2640,41.2854764,-72.8910278
2641,41.2854764,-72.8910278
2642,41.2878686,-72.8889057
2643,41.2877504,-72.888505
2644,41.287599,-72.8885433
2645,41.2873769,-72.8886077
2646,41.2894866,-72.8877925
2647,41.2871645,-72.8873074
2648,41.2890115,-72.8939612
2649,41.2862437,-72.8877179
2650,41.286363,-72.88788
2651,41.2890115,-72.8939612
2652,41.2866031,-72.8880116
2653,41.2872217,-72.8877387
2654,41.2869364,-72.8886452
2655,41.2870192,-72.8887498
2656,41.287166,-72.888807
2657,41.2872207,-72.8889916
2658,41.2873315,-72.8891085
2659,41.2876847,-72.8889719
2660,41.2861058,-72.8929532
2661,41.2862962,-72.8929163
2662,41.2864306,-72.8929198
2663,41.286523,-72.892678
2664,41.286696,-72.8927913
2665,41.2868407,-72.8927487
2666,41.286997,-72.8927581
2667,41.287125,-72.8927232
2668,41.287207,-72.8923612
2669,41.2873975,-72.8926197
2670,41.2875392,-72.8926398
2671,41.2876473,-72.8925232
2672,41.2877626,-72.8925185
2673,41.287861,-72.892337
2674,41.2880559,-72.8922871
2675,41.2882686,-72.8923961
2676,41.2884032,-72.8923649
2677,41.2885559,-72.8922285
2678,41.288433,-72.89183
2679,41.288317,-72.89166
2680,41.2883246,-72.8913527
2681,41.287986,-72.8913797
2682,41.2878574,-72.8914382
2683,41.2877329,-72.8914485
2684,41.2876076,-72.891496
2685,41.2875036,-72.8915086
2686,41.2873551,-72.8915876
2687,41.2872305,-72.8916283
2688,41.2871069,-72.8916581
2689,41.2869916,-72.8916884
2690,41.2868738,-72.8917118
2691,41.2867533,-72.8917203
2692,41.286635,-72.8917321
2693,41.2865168,-72.8918272
2694,41.286388,-72.8918581
2695,41.286302,-72.892089
2696,41.2861452,-72.8919402
2697,41.2860185,-72.8919756
2698,41.2860829,-72.8923646
2699,41.2873146,-72.8911504
2700,41.2874465,-72.8910831
2701,41.2875701,-72.8911208
2702,41.2877117,-72.890984
2703,41.2878653,-72.8909615
2704,41.2880004,-72.8909214
2705,41.288117,-72.8908977
2706,41.2878365,-72.8905514
2707,41.2876387,-72.8906137
2708,41.287495,-72.8906686
